sim_time_min,type,entity_id,atm_id,wait_min,service_min,queue_len,message
7.002332,LOG,,,,,1,ARRIVAL c001 -> q=1
7.002332,ARRIVAL,c001,,,,1,
7.002332,LOG,,,,,0,"START   ATM1 <- c001 (wait=0.00m, st=4.01m)"
7.002332,START,c001,1,0.000000,4.011200,0,
11.013533,LOG,,,,,0,DONE    ATM1 -> c001
11.013533,DONE,c001,1,,,0,
12.874664,LOG,,,,,1,ARRIVAL c002 -> q=1
12.874664,ARRIVAL,c002,,,,1,
12.874664,LOG,,,,,0,"START   ATM1 <- c002 (wait=0.00m, st=4.14m)"
12.874664,START,c002,1,0.000000,4.143978,0,
15.475697,LOG,,,,,1,ARRIVAL c003 -> q=1
15.475697,ARRIVAL,c003,,,,1,
17.018642,LOG,,,,,1,DONE    ATM1 -> c002
17.018642,DONE,c002,1,,,1,
17.018642,LOG,,,,,0,"START   ATM1 <- c003 (wait=1.54m, st=5.14m)"
17.018642,START,c003,1,1.542945,5.138327,0,
17.196806,LOG,,,,,1,ARRIVAL c004 -> q=1
17.196806,ARRIVAL,c004,,,,1,
22.156968,LOG,,,,,1,DONE    ATM1 -> c003
22.156968,DONE,c003,1,,,1,
22.156968,LOG,,,,,0,"START   ATM1 <- c004 (wait=4.96m, st=1.45m)"
22.156968,START,c004,1,4.960163,1.453347,0,
22.997215,LOG,,,,,1,ARRIVAL c005 -> q=1
22.997215,ARRIVAL,c005,,,,1,
23.403363,LOG,,,,,2,ARRIVAL c006 -> q=2
23.403363,ARRIVAL,c006,,,,2,
23.610316,LOG,,,,,2,DONE    ATM1 -> c004
23.610316,DONE,c004,1,,,2,
23.610316,LOG,,,,,1,"START   ATM1 <- c005 (wait=0.61m, st=1.74m)"
23.610316,START,c005,1,0.613101,1.738439,1,
24.946000,LOG,,,,,2,ARRIVAL c007 -> q=2
24.946000,ARRIVAL,c007,,,,2,
25.348755,LOG,,,,,2,DONE    ATM1 -> c005
25.348755,DONE,c005,1,,,2,
25.348755,LOG,,,,,1,"START   ATM1 <- c006 (wait=1.95m, st=1.59m)"
25.348755,START,c006,1,1.945392,1.588535,1,
26.937290,LOG,,,,,1,DONE    ATM1 -> c006
26.937290,DONE,c006,1,,,1,
26.937290,LOG,,,,,0,"START   ATM1 <- c007 (wait=1.99m, st=1.91m)"
26.937290,START,c007,1,1.991290,1.909712,0,
28.847003,LOG,,,,,0,DONE    ATM1 -> c007
28.847003,DONE,c007,1,,,0,
37.797682,LOG,,,,,1,ARRIVAL c008 -> q=1
37.797682,ARRIVAL,c008,,,,1,
37.797682,LOG,,,,,0,"START   ATM1 <- c008 (wait=0.00m, st=1.97m)"
37.797682,START,c008,1,0.000000,1.965826,0,
38.576741,LOG,,,,,1,ARRIVAL c009 -> q=1
38.576741,ARRIVAL,c009,,,,1,
39.763508,LOG,,,,,1,DONE    ATM1 -> c008
39.763508,DONE,c008,1,,,1,
39.763508,LOG,,,,,0,"START   ATM1 <- c009 (wait=1.19m, st=3.59m)"
39.763508,START,c009,1,1.186767,3.590278,0,
43.353785,LOG,,,,,0,DONE    ATM1 -> c009
43.353785,DONE,c009,1,,,0,
45.807453,LOG,,,,,1,ARRIVAL c010 -> q=1
45.807453,ARRIVAL,c010,,,,1,
45.807453,LOG,,,,,0,"START   ATM1 <- c010 (wait=0.00m, st=2.26m)"
45.807453,START,c010,1,0.000000,2.262131,0,
47.056959,LOG,,,,,1,ARRIVAL c011 -> q=1
47.056959,ARRIVAL,c011,,,,1,
47.912670,LOG,,,,,2,ARRIVAL c012 -> q=2
47.912670,ARRIVAL,c012,,,,2,
48.069584,LOG,,,,,2,DONE    ATM1 -> c010
48.069584,DONE,c010,1,,,2,
48.069584,LOG,,,,,1,"START   ATM1 <- c011 (wait=1.01m, st=2.34m)"
48.069584,START,c011,1,1.012625,2.337234,1,
49.469732,LOG,,,,,2,ARRIVAL c013 -> q=2
49.469732,ARRIVAL,c013,,,,2,
50.406818,LOG,,,,,2,DONE    ATM1 -> c011
50.406818,DONE,c011,1,,,2,
50.406818,LOG,,,,,1,"START   ATM1 <- c012 (wait=2.49m, st=4.86m)"
50.406818,START,c012,1,2.494148,4.862007,1,
52.309180,LOG,,,,,2,ARRIVAL c014 -> q=2
52.309180,ARRIVAL,c014,,,,2,
52.801558,LOG,,,,,3,ARRIVAL c015 -> q=3
52.801558,ARRIVAL,c015,,,,3,
53.931031,LOG,,,,,4,ARRIVAL c016 -> q=4
53.931031,ARRIVAL,c016,,,,4,
54.052375,LOG,,,,,5,ARRIVAL c017 -> q=5
54.052375,ARRIVAL,c017,,,,5,
55.268826,LOG,,,,,5,DONE    ATM1 -> c012
55.268826,DONE,c012,1,,,5,
55.268826,LOG,,,,,4,"START   ATM1 <- c013 (wait=5.80m, st=7.13m)"
55.268826,START,c013,1,5.799093,7.127490,4,
56.023449,LOG,,,,,5,ARRIVAL c018 -> q=5
56.023449,ARRIVAL,c018,,,,5,
59.519818,LOG,,,,,6,ARRIVAL c019 -> q=6
59.519818,ARRIVAL,c019,,,,6,
60.647875,LOG,,,,,7,ARRIVAL c020 -> q=7
60.647875,ARRIVAL,c020,,,,7,
61.313876,LOG,,,,,8,ARRIVAL c021 -> q=8
61.313876,ARRIVAL,c021,,,,8,
62.396316,LOG,,,,,8,DONE    ATM1 -> c013
62.396316,DONE,c013,1,,,8,
62.396316,LOG,,,,,7,"START   ATM1 <- c014 (wait=10.09m, st=2.36m)"
62.396316,START,c014,1,10.087136,2.357524,7,
64.658146,LOG,,,,,8,ARRIVAL c022 -> q=8
64.658146,ARRIVAL,c022,,,,8,
64.753840,LOG,,,,,8,DONE    ATM1 -> c014
64.753840,DONE,c014,1,,,8,
64.753840,LOG,,,,,7,"START   ATM1 <- c015 (wait=11.95m, st=3.40m)"
64.753840,START,c015,1,11.952282,3.399046,7,
67.109446,LOG,,,,,8,ARRIVAL c023 -> q=8
67.109446,ARRIVAL,c023,,,,8,
68.152886,LOG,,,,,8,DONE    ATM1 -> c015
68.152886,DONE,c015,1,,,8,
68.152886,LOG,,,,,7,"START   ATM1 <- c016 (wait=14.22m, st=6.16m)"
68.152886,START,c016,1,14.221855,6.158668,7,
71.826439,LOG,,,,,8,ARRIVAL c024 -> q=8
71.826439,ARRIVAL,c024,,,,8,
72.154240,LOG,,,,,9,ARRIVAL c025 -> q=9
72.154240,ARRIVAL,c025,,,,9,
72.347436,LOG,,,,,10,ARRIVAL c026 -> q=10
72.347436,ARRIVAL,c026,,,,10,
74.311554,LOG,,,,,10,DONE    ATM1 -> c016
74.311554,DONE,c016,1,,,10,
74.311554,LOG,,,,,9,"START   ATM1 <- c017 (wait=20.26m, st=2.08m)"
74.311554,START,c017,1,20.259180,2.076175,9,
76.387730,LOG,,,,,9,DONE    ATM1 -> c017
76.387730,DONE,c017,1,,,9,
76.387730,LOG,,,,,8,"START   ATM1 <- c018 (wait=20.36m, st=3.28m)"
76.387730,START,c018,1,20.364281,3.282994,8,
79.670724,LOG,,,,,8,DONE    ATM1 -> c018
79.670724,DONE,c018,1,,,8,
79.670724,LOG,,,,,7,"START   ATM1 <- c019 (wait=20.15m, st=2.06m)"
