sim_time_min,queue_len,in_service,completed,balked,reneged,atm_busy_flags
0.000000,0,0,0,0,0,00
0.500000,0,0,0,0,0,00
1.000000,0,0,0,0,0,00
1.500000,0,0,0,0,0,00
2.000000,0,0,0,0,0,00
2.500000,0,0,0,0,0,00
3.000000,0,0,0,0,0,00
3.500000,0,0,0,0,0,00
4.000000,0,0,0,0,0,00
4.500000,0,0,0,0,0,00
5.000000,0,0,0,0,0,00
5.500000,0,0,0,0,0,00
6.000000,0,0,0,0,0,00
6.500000,0,0,0,0,0,00
7.000000,0,0,0,0,0,00
7.500000,0,0,0,0,0,00
8.000000,0,0,0,0,0,00
8.500000,0,0,0,0,0,00
9.000000,0,0,0,0,0,00
9.500000,0,0,0,0,0,00
10.000000,0,0,0,0,0,00
10.500000,0,0,0,0,0,00
11.000000,0,0,0,0,0,00
11.500000,0,0,0,0,0,00
12.000000,0,0,0,0,0,00
12.500000,0,0,0,0,0,00
13.000000,0,0,0,0,0,00
13.500000,0,0,0,0,0,00
14.000000,0,0,0,0,0,00
14.500000,0,1,0,0,0,10
15.000000,0,1,0,0,0,10
15.500000,0,1,0,0,0,10
16.000000,0,1,0,0,0,10
16.500000,0,1,0,0,0,10
17.000000,0,2,0,0,0,11
17.500000,0,2,0,0,0,11
18.000000,0,1,1,0,0,01
18.500000,0,1,1,0,0,01
19.000000,0,1,1,0,0,01
19.500000,0,1,1,0,0,01
20.000000,0,1,1,0,0,01
20.500000,0,1,2,0,0,10
21.000000,0,1,2,0,0,10
21.500000,0,1,2,0,0,10
22.000000,0,1,2,0,0,10
22.500000,0,1,2,0,0,10
23.000000,0,1,2,0,0,10
23.500000,0,1,2,0,0,10
24.000000,0,0,3,0,0,00
24.500000,0,0,3,0,0,00
25.000000,0,0,3,0,0,00
25.500000,0,1,3,0,0,10
26.000000,0,1,3,0,0,10
26.500000,0,2,3,0,0,11
27.000000,0,2,3,0,0,11
27.500000,0,2,3,0,0,11
28.000000,0,2,3,0,0,11
28.500000,0,2,3,0,0,11
29.000000,0,2,3,0,0,11
29.500000,0,1,4,0,0,01
30.000000,0,1,4,0,0,01
30.500000,0,1,4,0,0,01
31.000000,0,0,5,0,0,00
31.500000,0,0,5,0,0,00
32.000000,0,0,5,0,0,00
32.500000,0,0,5,0,0,00
33.000000,0,0,5,0,0,00
33.500000,0,0,5,0,0,00
34.000000,0,0,5,0,0,00
34.500000,0,0,5,0,0,00
35.000000,0,0,5,0,0,00
35.500000,0,0,5,0,0,00
36.000000,0,0,5,0,0,00
36.500000,0,0,5,0,0,00
37.000000,0,0,5,0,0,00
37.500000,0,1,5,0,0,10
38.000000,0,1,5,0,0,10
38.500000,0,1,5,0,0,10
39.000000,0,1,5,0,0,10
39.500000,0,1,5,0,0,10
40.000000,0,1,5,0,0,10
40.500000,0,1,5,0,0,10
41.000000,0,1,5,0,0,10
41.500000,0,1,5,0,0,10
42.000000,0,1,5,0,0,10
42.500000,0,0,6,0,0,00
43.000000,0,0,6,0,0,00
43.500000,0,1,6,0,0,10
44.000000,0,1,6,0,0,10
44.500000,0,1,6,0,0,10
45.000000,0,1,6,0,0,10
45.500000,0,1,6,0,0,10
46.000000,0,1,6,0,0,10
46.500000,0,0,7,0,0,00
47.000000,0,0,7,0,0,00
47.500000,0,0,7,0,0,00
48.000000,0,0,7,0,0,00
48.500000,0,1,7,0,0,10
49.000000,0,1,7,0,0,10
49.500000,0,0,8,0,0,00
50.000000,0,0,8,0,0,00
50.500000,0,0,8,0,0,00
51.000000,0,0,8,0,0,00
51.500000,0,0,8,0,0,00
52.000000,0,1,8,0,0,10
52.500000,0,1,8,0,0,10
53.000000,0,1,8,0,0,10
53.500000,0,1,8,0,0,10
54.000000,0,1,8,0,0,10
54.500000,0,1,8,0,0,10
55.000000,0,1,8,0,0,10
55.500000,0,0,9,0,0,00
56.000000,0,0,9,0,0,00
56.500000,0,0,9,0,0,00
57.000000,0,0,9,0,0,00
57.500000,0,0,9,0,0,00
58.000000,0,0,9,0,0,00
58.500000,0,0,9,0,0,00
59.000000,0,0,9,0,0,00
59.500000,0,0,9,0,0,00
60.000000,0,0,9,0,0,00
60.500000,0,0,9,0,0,00
61.000000,0,0,9,0,0,00
61.500000,0,0,9,0,0,00
62.000000,0,0,9,0,0,00
62.500000,0,0,9,0,0,00
63.000000,0,0,9,0,0,00
63.500000,0,0,9,0,0,00
64.000000,0,0,9,0,0,00
64.500000,0,0,9,0,0,00
65.000000,0,0,9,0,0,00
65.500000,0,0,9,0,0,00
66.000000,0,0,9,0,0,00
66.500000,0,0,9,0,0,00
67.000000,0,0,9,0,0,00
67.500000,0,0,9,0,0,00
68.000000,0,0,9,0,0,00
68.500000,0,0,9,0,0,00
69.000000,0,0,9,0,0,00
69.500000,0,0,9,0,0,00
70.000000,0,1,9,0,0,10
70.500000,0,1,9,0,0,10
71.000000,0,1,9,0,0,10
71.500000,0,0,10,0,0,00
72.000000,0,0,10,0,0,00
72.500000,0,0,10,0,0,00
73.000000,0,0,10,0,0,00
73.500000,0,0,10,0,0,00
74.000000,0,0,10,0,0,00
74.500000,0,0,10,0,0,00
75.000000,0,1,10,0,0,10
75.500000,0,1,10,0,0,10
76.000000,0,1,10,0,0,10
