sim_time_min,type,entity_id,atm_id,wait_min,service_min,queue_len,message
14.320402,LOG,,,,,1,ARRIVAL c001 -> q=1
14.320402,ARRIVAL,c001,,,,1,
14.320402,LOG,,,,,0,"START   ATM1 <- c001 (wait=0.00m, st=3.43m)"
14.320402,START,c001,1,0.000000,3.427670,0,
16.862644,LOG,,,,,1,ARRIVAL c002 -> q=1
16.862644,ARRIVAL,c002,,,,1,
16.862644,LOG,,,,,0,"START   ATM2 <- c002 (wait=0.00m, st=3.55m)"
16.862644,START,c002,2,0.000000,3.545349,0,
17.748072,LOG,,,,,0,DONE    ATM1 -> c001
17.748072,DONE,c001,1,,,0,
20.407992,LOG,,,,,0,DONE    ATM2 -> c002
20.407992,DONE,c002,2,,,0,
20.478244,LOG,,,,,1,ARRIVAL c003 -> q=1
20.478244,ARRIVAL,c003,,,,1,
20.478244,LOG,,,,,0,"START   ATM1 <- c003 (wait=0.00m, st=3.21m)"
20.478244,START,c003,1,0.000000,3.205578,0,
23.683822,LOG,,,,,0,DONE    ATM1 -> c003
23.683822,DONE,c003,1,,,0,
25.238158,LOG,,,,,1,ARRIVAL c004 -> q=1
25.238158,ARRIVAL,c004,,,,1,
25.238158,LOG,,,,,0,"START   ATM1 <- c004 (wait=0.00m, st=3.80m)"
25.238158,START,c004,1,0.000000,3.803687,0,
26.201493,LOG,,,,,1,ARRIVAL c005 -> q=1
26.201493,ARRIVAL,c005,,,,1,
26.201493,LOG,,,,,0,"START   ATM2 <- c005 (wait=0.00m, st=4.30m)"
26.201493,START,c005,2,0.000000,4.299056,0,
29.041845,LOG,,,,,0,DONE    ATM1 -> c004
29.041845,DONE,c004,1,,,0,
30.500549,LOG,,,,,0,DONE    ATM2 -> c005
30.500549,DONE,c005,2,,,0,
37.327829,LOG,,,,,1,ARRIVAL c006 -> q=1
37.327829,ARRIVAL,c006,,,,1,
37.327829,LOG,,,,,0,"START   ATM1 <- c006 (wait=0.00m, st=4.76m)"
37.327829,START,c006,1,0.000000,4.764231,0,
42.092060,LOG,,,,,0,DONE    ATM1 -> c006
42.092060,DONE,c006,1,,,0,
43.455720,LOG,,,,,1,ARRIVAL c007 -> q=1
43.455720,ARRIVAL,c007,,,,1,
43.455720,LOG,,,,,0,"START   ATM1 <- c007 (wait=0.00m, st=3.01m)"
43.455720,START,c007,1,0.000000,3.005048,0,
46.460768,LOG,,,,,0,DONE    ATM1 -> c007
46.460768,DONE,c007,1,,,0,
48.211519,LOG,,,,,1,ARRIVAL c008 -> q=1
48.211519,ARRIVAL,c008,,,,1,
48.211519,LOG,,,,,0,"START   ATM1 <- c008 (wait=0.00m, st=1.23m)"
48.211519,START,c008,1,0.000000,1.231980,0,
49.443499,LOG,,,,,0,DONE    ATM1 -> c008
49.443499,DONE,c008,1,,,0,
51.674797,LOG,,,,,1,ARRIVAL c009 -> q=1
51.674797,ARRIVAL,c009,,,,1,
51.674797,LOG,,,,,0,"START   ATM1 <- c009 (wait=0.00m, st=3.72m)"
51.674797,START,c009,1,0.000000,3.721012,0,
55.395810,LOG,,,,,0,DONE    ATM1 -> c009
55.395810,DONE,c009,1,,,0,
69.569287,LOG,,,,,1,ARRIVAL c010 -> q=1
69.569287,ARRIVAL,c010,,,,1,
69.569287,LOG,,,,,0,"START   ATM1 <- c010 (wait=0.00m, st=1.80m)"
69.569287,START,c010,1,0.000000,1.804696,0,
71.373982,LOG,,,,,0,DONE    ATM1 -> c010
71.373982,DONE,c010,1,,,0,
74.620636,LOG,,,,,1,ARRIVAL c011 -> q=1
74.620636,ARRIVAL,c011,,,,1,
74.620636,LOG,,,,,0,"START   ATM1 <- c011 (wait=0.00m, st=4.54m)"
74.620636,START,c011,1,0.000000,4.540448,0,
