sim_time_min,type,entity_id,atm_id,wait_min,service_min,queue_len,message
10.181135,LOG,,,,,1,ARRIVAL c001 -> q=1
10.181135,ARRIVAL,c001,,,,1,
10.181135,LOG,,,,,0,"START   ATM1 <- c001 (wait=0.00m, st=2.58m)"
10.181135,START,c001,1,0.000000,2.580344,0,
12.761480,LOG,,,,,0,DONE    ATM1 -> c001
12.761480,DONE,c001,1,,,0,
18.332357,LOG,,,,,1,ARRIVAL c002 -> q=1
18.332357,ARRIVAL,c002,,,,1,
18.332357,LOG,,,,,0,"START   ATM1 <- c002 (wait=0.00m, st=1.81m)"
18.332357,START,c002,1,0.000000,1.806282,0,
20.138639,LOG,,,,,0,DONE    ATM1 -> c002
20.138639,DONE,c002,1,,,0,
26.329530,LOG,,,,,1,ARRIVAL c003 -> q=1
26.329530,ARRIVAL,c003,,,,1,
26.329530,LOG,,,,,0,"START   ATM1 <- c003 (wait=0.00m, st=4.55m)"
26.329530,START,c003,1,0.000000,4.549071,0,
30.878600,LOG,,,,,0,DONE    ATM1 -> c003
30.878600,DONE,c003,1,,,0,
34.630475,LOG,,,,,1,ARRIVAL c004 -> q=1
34.630475,ARRIVAL,c004,,,,1,
34.630475,LOG,,,,,0,"START   ATM1 <- c004 (wait=0.00m, st=1.72m)"
34.630475,START,c004,1,0.000000,1.716279,0,
34.687688,LOG,,,,,1,ARRIVAL c005 -> q=1
34.687688,ARRIVAL,c005,,,,1,
34.687688,LOG,,,,,0,"START   ATM2 <- c005 (wait=0.00m, st=2.27m)"
34.687688,START,c005,2,0.000000,2.269072,0,
36.346755,LOG,,,,,0,DONE    ATM1 -> c004
36.346755,DONE,c004,1,,,0,
36.532212,LOG,,,,,1,ARRIVAL c006 -> q=1
36.532212,ARRIVAL,c006,,,,1,
36.532212,LOG,,,,,0,"START   ATM1 <- c006 (wait=0.00m, st=3.48m)"
36.532212,START,c006,1,0.000000,3.480401,0,
36.956760,LOG,,,,,0,DONE    ATM2 -> c005
36.956760,DONE,c005,2,,,0,
38.154274,LOG,,,,,1,ARRIVAL c007 -> q=1
38.154274,ARRIVAL,c007,,,,1,
38.154274,LOG,,,,,0,"START   ATM2 <- c007 (wait=0.00m, st=5.15m)"
38.154274,START,c007,2,0.000000,5.152173,0,
40.012613,LOG,,,,,0,DONE    ATM1 -> c006
40.012613,DONE,c006,1,,,0,
43.306447,LOG,,,,,0,DONE    ATM2 -> c007
43.306447,DONE,c007,2,,,0,
43.465542,LOG,,,,,1,ARRIVAL c008 -> q=1
43.465542,ARRIVAL,c008,,,,1,
43.465542,LOG,,,,,0,"START   ATM1 <- c008 (wait=0.00m, st=4.87m)"
43.465542,START,c008,1,0.000000,4.865833,0,
43.530708,LOG,,,,,1,ARRIVAL c009 -> q=1
43.530708,ARRIVAL,c009,,,,1,
43.530708,LOG,,,,,0,"START   ATM2 <- c009 (wait=0.00m, st=7.15m)"
43.530708,START,c009,2,0.000000,7.145272,0,
