sim_time_min,queue_len,in_service,completed,balked,reneged,atm_busy_flags
0.000000,0,0,0,0,0,00
0.500000,0,0,0,0,0,00
1.000000,0,0,0,0,0,00
1.500000,0,0,0,0,0,00
2.000000,0,2,0,0,0,11
2.500000,0,2,0,0,0,11
3.000000,0,2,0,0,0,11
3.500000,0,2,0,0,0,11
4.000000,1,2,0,0,0,11
4.500000,0,2,1,0,0,11
5.000000,0,2,1,0,0,11
5.500000,0,2,1,0,0,11
6.000000,0,2,2,0,0,11
6.500000,0,2,2,0,0,11
7.000000,0,2,2,0,0,11
7.500000,0,2,2,0,0,11
8.000000,0,1,3,0,0,01
8.500000,0,0,4,0,0,00
9.000000,0,0,4,0,0,00
9.500000,0,1,4,0,0,10
10.000000,0,1,4,0,0,10
10.500000,0,1,4,0,0,10
11.000000,0,1,4,0,0,10
11.500000,0,1,4,0,0,10
12.000000,0,1,4,0,0,10
12.500000,0,0,5,0,0,00
13.000000,0,0,5,0,0,00
13.500000,0,0,5,0,0,00
14.000000,0,0,5,0,0,00
14.500000,0,0,5,0,0,00
15.000000,0,1,5,0,0,10
15.500000,0,1,5,0,0,10
16.000000,0,1,5,0,0,10
16.500000,0,1,5,0,0,10
17.000000,0,1,5,0,0,10
17.500000,0,1,5,0,0,10
18.000000,0,1,5,0,0,10
18.500000,0,1,5,0,0,10
19.000000,0,2,5,0,0,11
19.500000,0,1,6,0,0,01
20.000000,0,1,6,0,0,01
20.500000,0,2,6,0,0,11
21.000000,0,1,7,0,0,10
21.500000,0,1,7,0,0,10
22.000000,0,1,7,0,0,10
22.500000,0,1,7,0,0,10
23.000000,0,2,7,0,0,11
23.500000,0,1,8,0,0,01
24.000000,0,1,8,0,0,01
24.500000,0,1,8,0,0,01
25.000000,0,1,8,0,0,01
25.500000,0,1,8,0,0,01
26.000000,0,0,9,0,0,00
26.500000,0,0,9,0,0,00
27.000000,0,0,9,0,0,00
27.500000,0,0,9,0,0,00
28.000000,0,0,9,0,0,00
28.500000,0,0,9,0,0,00
29.000000,0,0,9,0,0,00
29.500000,0,0,9,0,0,00
30.000000,0,0,9,0,0,00
30.500000,0,0,9,0,0,00
31.000000,0,0,9,0,0,00
31.500000,0,0,9,0,0,00
32.000000,0,0,9,0,0,00
32.500000,0,1,9,0,0,10
33.000000,0,1,9,0,0,10
33.500000,0,1,9,0,0,10
34.000000,0,1,9,0,0,10
34.500000,0,0,10,0,0,00
35.000000,0,0,10,0,0,00
35.500000,0,0,10,0,0,00
36.000000,0,0,10,0,0,00
36.500000,0,0,10,0,0,00
37.000000,0,0,10,0,0,00
37.500000,0,0,10,0,0,00
38.000000,0,0,10,0,0,00
38.500000,0,0,10,0,0,00
39.000000,0,0,10,0,0,00
39.500000,0,1,10,0,0,10
40.000000,0,0,11,0,0,00
40.500000,0,0,11,0,0,00
41.000000,0,0,11,0,0,00
41.500000,0,0,11,0,0,00
42.000000,0,0,11,0,0,00
42.500000,0,0,11,0,0,00
43.000000,0,0,11,0,0,00
43.500000,0,0,11,0,0,00
44.000000,0,0,11,0,0,00
44.500000,0,0,11,0,0,00
45.000000,0,0,11,0,0,00
45.500000,0,0,11,0,0,00
46.000000,0,0,11,0,0,00
46.500000,0,0,11,0,0,00
47.000000,0,1,11,0,0,10
47.500000,0,1,11,0,0,10
48.000000,0,1,11,0,0,10
48.500000,0,1,11,0,0,10
49.000000,0,0,12,0,0,00
49.500000,0,0,12,0,0,00
50.000000,0,0,12,0,0,00
50.500000,0,0,12,0,0,00
51.000000,0,0,12,0,0,00
51.500000,0,0,12,0,0,00
52.000000,0,0,12,0,0,00
52.500000,0,0,12,0,0,00
53.000000,0,0,12,0,0,00
53.500000,0,0,12,0,0,00
54.000000,0,0,12,0,0,00
54.500000,0,0,12,0,0,00
55.000000,0,0,12,0,0,00
55.500000,0,0,12,0,0,00
56.000000,0,0,12,0,0,00
56.500000,0,0,12,0,0,00
57.000000,0,0,12,0,0,00
57.500000,0,1,12,0,0,10
58.000000,0,1,12,0,0,10
58.500000,0,1,12,0,0,10
59.000000,0,1,12,0,0,10
59.500000,0,1,12,0,0,10
60.000000,0,1,12,0,0,10
60.500000,0,0,13,0,0,00
61.000000,0,0,13,0,0,00
61.500000,0,0,13,0,0,00
62.000000,0,1,13,0,0,10
62.500000,0,1,13,0,0,10
63.000000,0,1,13,0,0,10
63.500000,0,1,13,0,0,10
64.000000,0,1,13,0,0,10
64.500000,0,1,13,0,0,10
65.000000,0,1,13,0,0,10
65.500000,0,2,13,0,0,11
66.000000,0,2,14,0,0,11
66.500000,0,2,14,0,0,11
67.000000,0,2,14,0,0,11
67.500000,0,1,15,0,0,10
68.000000,0,1,15,0,0,10
68.500000,0,2,15,0,0,11
69.000000,0,2,15,0,0,11
69.500000,0,1,16,0,0,01
70.000000,0,1,16,0,0,01
70.500000,0,1,16,0,0,01
71.000000,0,1,16,0,0,01
71.500000,0,1,16,0,0,01
72.000000,0,1,16,0,0,01
72.500000,0,1,16,0,0,01
73.000000,0,1,16,0,0,01
73.500000,0,0,17,0,0,00
74.000000,0,0,17,0,0,00
74.500000,0,0,17,0,0,00
75.000000,0,0,17,0,0,00
75.500000,0,0,17,0,0,00
76.000000,0,0,17,0,0,00
