sim_time_min,type,entity_id,atm_id,wait_min,service_min,queue_len,message
0.339992,LOG,,,,,1,ARRIVAL c001 -> q=1
0.339992,ARRIVAL,c001,,,,1,
0.339992,LOG,,,,,0,"START   ATM1 <- c001 (wait=0.00m, st=0.81m)"
0.339992,START,c001,1,0.000000,0.810303,0,
1.150295,LOG,,,,,0,DONE    ATM1 -> c001
1.150295,DONE,c001,1,,,0,
7.316396,LOG,,,,,1,ARRIVAL c002 -> q=1
7.316396,ARRIVAL,c002,,,,1,
7.316396,LOG,,,,,0,"START   ATM1 <- c002 (wait=0.00m, st=2.15m)"
7.316396,START,c002,1,0.000000,2.152759,0,
9.469155,LOG,,,,,0,DONE    ATM1 -> c002
9.469155,DONE,c002,1,,,0,
10.378653,LOG,,,,,1,ARRIVAL c003 -> q=1
10.378653,ARRIVAL,c003,,,,1,
10.378653,LOG,,,,,0,"START   ATM1 <- c003 (wait=0.00m, st=0.69m)"
10.378653,START,c003,1,0.000000,0.688058,0,
11.066711,LOG,,,,,0,DONE    ATM1 -> c003
11.066711,DONE,c003,1,,,0,
16.137912,LOG,,,,,1,ARRIVAL c004 -> q=1
16.137912,ARRIVAL,c004,,,,1,
16.137912,LOG,,,,,0,"START   ATM1 <- c004 (wait=0.00m, st=3.53m)"
16.137912,START,c004,1,0.000000,3.530720,0,
19.668632,LOG,,,,,0,DONE    ATM1 -> c004
19.668632,DONE,c004,1,,,0,
20.415362,LOG,,,,,1,ARRIVAL c005 -> q=1
20.415362,ARRIVAL,c005,,,,1,
20.415362,LOG,,,,,0,"START   ATM1 <- c005 (wait=0.00m, st=3.45m)"
20.415362,START,c005,1,0.000000,3.447064,0,
23.862426,LOG,,,,,0,DONE    ATM1 -> c005
23.862426,DONE,c005,1,,,0,
26.822582,LOG,,,,,1,ARRIVAL c006 -> q=1
26.822582,ARRIVAL,c006,,,,1,
26.822582,LOG,,,,,0,"START   ATM1 <- c006 (wait=0.00m, st=1.43m)"
26.822582,START,c006,1,0.000000,1.426692,0,
