sim_time_min,type,entity_id,atm_id,wait_min,service_min,queue_len,message
0.079397,LOG,,,,,1,ARRIVAL c001 -> q=1
0.079397,ARRIVAL,c001,,,,1,
0.079397,LOG,,,,,0,"START   ATM1 <- c001 (wait=0.00m, st=2.59m)"
0.079397,START,c001,1,0.000000,2.588699,0,
1.234545,LOG,,,,,1,ARRIVAL c002 -> q=1
1.234545,ARRIVAL,c002,,,,1,
1.234545,LOG,,,,,0,"START   ATM2 <- c002 (wait=0.00m, st=2.24m)"
1.234545,START,c002,2,0.000000,2.236373,0,
2.668096,LOG,,,,,0,DONE    ATM1 -> c001
2.668096,DONE,c001,1,,,0,
3.133035,LOG,,,,,1,ARRIVAL c003 -> q=1
3.133035,ARRIVAL,c003,,,,1,
3.133035,LOG,,,,,0,"START   ATM1 <- c003 (wait=0.00m, st=1.68m)"
3.133035,START,c003,1,0.000000,1.676705,0,
3.470918,LOG,,,,,0,DONE    ATM2 -> c002
3.470918,DONE,c002,2,,,0,
3.571289,LOG,,,,,1,ARRIVAL c004 -> q=1
3.571289,ARRIVAL,c004,,,,1,
3.571289,LOG,,,,,0,"START   ATM2 <- c004 (wait=0.00m, st=1.80m)"
3.571289,START,c004,2,0.000000,1.800181,0,
4.278659,LOG,,,,,1,ARRIVAL c005 -> q=1
4.278659,ARRIVAL,c005,,,,1,
4.809740,LOG,,,,,1,DONE    ATM1 -> c003
4.809740,DONE,c003,1,,,1,
4.809740,LOG,,,,,0,"START   ATM1 <- c005 (wait=0.53m, st=2.24m)"
4.809740,START,c005,1,0.531081,2.239359,0,
5.371470,LOG,,,,,0,DONE    ATM2 -> c004
5.371470,DONE,c004,2,,,0,
7.049099,LOG,,,,,0,DONE    ATM1 -> c005
7.049099,DONE,c005,1,,,0,
18.153515,LOG,,,,,1,ARRIVAL c006 -> q=1
18.153515,ARRIVAL,c006,,,,1,
18.153515,LOG,,,,,0,"START   ATM1 <- c006 (wait=0.00m, st=1.43m)"
18.153515,START,c006,1,0.000000,1.427260,0,
19.580775,LOG,,,,,0,DONE    ATM1 -> c006
19.580775,DONE,c006,1,,,0,
24.513188,LOG,,,,,1,ARRIVAL c007 -> q=1
24.513188,ARRIVAL,c007,,,,1,
24.513188,LOG,,,,,0,"START   ATM1 <- c007 (wait=0.00m, st=2.17m)"
24.513188,START,c007,1,0.000000,2.173102,0,
25.729509,LOG,,,,,1,ARRIVAL c008 -> q=1
25.729509,ARRIVAL,c008,,,,1,
25.729509,LOG,,,,,0,"START   ATM2 <- c008 (wait=0.00m, st=2.06m)"
25.729509,START,c008,2,0.000000,2.056702,0,
26.686290,LOG,,,,,0,DONE    ATM1 -> c007
26.686290,DONE,c007,1,,,0,
27.786211,LOG,,,,,0,DONE    ATM2 -> c008
27.786211,DONE,c008,2,,,0,
27.820994,LOG,,,,,1,ARRIVAL c009 -> q=1
27.820994,ARRIVAL,c009,,,,1,
27.820994,LOG,,,,,0,"START   ATM1 <- c009 (wait=0.00m, st=4.54m)"
27.820994,START,c009,1,0.000000,4.540839,0,
31.558333,LOG,,,,,1,ARRIVAL c010 -> q=1
31.558333,ARRIVAL,c010,,,,1,
31.558333,LOG,,,,,0,"START   ATM2 <- c010 (wait=0.00m, st=12.32m)"
31.558333,START,c010,2,0.000000,12.322841,0,
32.361834,LOG,,,,,0,DONE    ATM1 -> c009
32.361834,DONE,c009,1,,,0,
33.361022,LOG,,,,,1,ARRIVAL c011 -> q=1
33.361022,ARRIVAL,c011,,,,1,
33.361022,LOG,,,,,0,"START   ATM1 <- c011 (wait=0.00m, st=2.91m)"
33.361022,START,c011,1,0.000000,2.906335,0,
36.267357,LOG,,,,,0,DONE    ATM1 -> c011
36.267357,DONE,c011,1,,,0,
38.116823,LOG,,,,,1,ARRIVAL c012 -> q=1
38.116823,ARRIVAL,c012,,,,1,
38.116823,LOG,,,,,0,"START   ATM1 <- c012 (wait=0.00m, st=3.29m)"
38.116823,START,c012,1,0.000000,3.294372,0,
41.411195,LOG,,,,,0,DONE    ATM1 -> c012
41.411195,DONE,c012,1,,,0,
42.675866,LOG,,,,,1,ARRIVAL c013 -> q=1
42.675866,ARRIVAL,c013,,,,1,
42.675866,LOG,,,,,0,"START   ATM1 <- c013 (wait=0.00m, st=2.94m)"
42.675866,START,c013,1,0.000000,2.940274,0,
43.881174,LOG,,,,,0,DONE    ATM2 -> c010
43.881174,DONE,c010,2,,,0,
45.616140,LOG,,,,,0,DONE    ATM1 -> c013
45.616140,DONE,c013,1,,,0,
45.927742,LOG,,,,,1,ARRIVAL c014 -> q=1
45.927742,ARRIVAL,c014,,,,1,
45.927742,LOG,,,,,0,"START   ATM1 <- c014 (wait=0.00m, st=2.31m)"
45.927742,START,c014,1,0.000000,2.310906,0,
46.242690,LOG,,,,,1,ARRIVAL c015 -> q=1
46.242690,ARRIVAL,c015,,,,1,
46.242690,LOG,,,,,0,"START   ATM2 <- c015 (wait=0.00m, st=3.70m)"
46.242690,START,c015,2,0.000000,3.697534,0,
48.238648,LOG,,,,,0,DONE    ATM1 -> c014
48.238648,DONE,c014,1,,,0,
48.955033,LOG,,,,,1,ARRIVAL c016 -> q=1
48.955033,ARRIVAL,c016,,,,1,
48.955033,LOG,,,,,0,"START   ATM1 <- c016 (wait=0.00m, st=3.91m)"
48.955033,START,c016,1,0.000000,3.907542,0,
49.940224,LOG,,,,,0,DONE    ATM2 -> c015
49.940224,DONE,c015,2,,,0,
50.246378,LOG,,,,,1,ARRIVAL c017 -> q=1
50.246378,ARRIVAL,c017,,,,1,
50.246378,LOG,,,,,0,"START   ATM2 <- c017 (wait=0.00m, st=1.93m)"
50.246378,START,c017,2,0.000000,1.932662,0,
52.179040,LOG,,,,,0,DONE    ATM2 -> c017
52.179040,DONE,c017,2,,,0,
52.181149,LOG,,,,,1,ARRIVAL c018 -> q=1
52.181149,ARRIVAL,c018,,,,1,
