sim_time_min,type,entity_id,atm_id,wait_min,service_min,queue_len,message
0.948722,LOG,,,,,1,ARRIVAL c001 -> q=1
0.948722,ARRIVAL,c001,,,,1,
0.948722,LOG,,,,,0,"START   ATM1 <- c001 (wait=0.00m, st=2.97m)"
0.948722,START,c001,1,0.000000,2.972547,0,
3.361819,LOG,,,,,1,ARRIVAL c002 -> q=1
3.361819,ARRIVAL,c002,,,,1,
3.361819,LOG,,,,,0,"START   ATM2 <- c002 (wait=0.00m, st=2.03m)"
3.361819,START,c002,2,0.000000,2.032543,0,
3.921269,LOG,,,,,0,DONE    ATM1 -> c001
3.921269,DONE,c001,1,,,0,
5.394362,LOG,,,,,0,DONE    ATM2 -> c002
5.394362,DONE,c002,2,,,0,
7.679776,LOG,,,,,1,ARRIVAL c003 -> q=1
7.679776,ARRIVAL,c003,,,,1,
7.679776,LOG,,,,,0,"START   ATM1 <- c003 (wait=0.00m, st=1.38m)"
7.679776,START,c003,1,0.000000,1.375518,0,
9.055295,LOG,,,,,0,DONE    ATM1 -> c003
9.055295,DONE,c003,1,,,0,
12.062344,LOG,,,,,1,ARRIVAL c004 -> q=1
12.062344,ARRIVAL,c004,,,,1,
12.062344,LOG,,,,,0,"START   ATM1 <- c004 (wait=0.00m, st=2.57m)"
12.062344,START,c004,1,0.000000,2.574420,0,
14.636764,LOG,,,,,0,DONE    ATM1 -> c004
14.636764,DONE,c004,1,,,0,
19.615093,LOG,,,,,1,ARRIVAL c005 -> q=1
19.615093,ARRIVAL,c005,,,,1,
19.615093,LOG,,,,,0,"START   ATM1 <- c005 (wait=0.00m, st=1.45m)"
19.615093,START,c005,1,0.000000,1.450646,0,
21.065739,LOG,,,,,0,DONE    ATM1 -> c005
21.065739,DONE,c005,1,,,0,
25.420702,LOG,,,,,1,ARRIVAL c006 -> q=1
25.420702,ARRIVAL,c006,,,,1,
25.420702,LOG,,,,,0,"START   ATM1 <- c006 (wait=0.00m, st=4.16m)"
25.420702,START,c006,1,0.000000,4.155561,0,
28.242615,LOG,,,,,1,ARRIVAL c007 -> q=1
28.242615,ARRIVAL,c007,,,,1,
28.242615,LOG,,,,,0,"START   ATM2 <- c007 (wait=0.00m, st=1.52m)"
28.242615,START,c007,2,0.000000,1.517282,0,
29.576263,LOG,,,,,0,DONE    ATM1 -> c006
29.576263,DONE,c006,1,,,0,
29.606288,LOG,,,,,1,ARRIVAL c008 -> q=1
29.606288,ARRIVAL,c008,,,,1,
29.606288,LOG,,,,,0,"START   ATM1 <- c008 (wait=0.00m, st=2.86m)"
29.606288,START,c008,1,0.000000,2.859310,0,
29.759897,LOG,,,,,0,DONE    ATM2 -> c007
29.759897,DONE,c007,2,,,0,
32.465599,LOG,,,,,0,DONE    ATM1 -> c008
32.465599,DONE,c008,1,,,0,
36.786182,LOG,,,,,1,ARRIVAL c009 -> q=1
