sim_time_min,queue_len,in_service,completed,balked,reneged,atm_busy_flags
0.000000,0,0,0,0,0,00
0.500000,0,0,0,0,0,00
1.000000,0,1,0,0,0,10
1.500000,0,1,0,0,0,10
2.000000,0,1,0,0,0,10
2.500000,0,1,0,0,0,10
3.000000,0,1,0,0,0,10
3.500000,0,2,0,0,0,11
4.000000,0,1,1,0,0,01
4.500000,0,1,1,0,0,01
5.000000,0,1,1,0,0,01
5.500000,0,0,2,0,0,00
6.000000,0,0,2,0,0,00
6.500000,0,0,2,0,0,00
7.000000,0,0,2,0,0,00
7.500000,0,0,2,0,0,00
8.000000,0,1,2,0,0,10
8.500000,0,1,2,0,0,10
9.000000,0,1,2,0,0,10
9.500000,0,0,3,0,0,00
10.000000,0,0,3,0,0,00
10.500000,0,0,3,0,0,00
11.000000,0,0,3,0,0,00
11.500000,0,0,3,0,0,00
12.000000,0,0,3,0,0,00
12.500000,0,1,3,0,0,10
13.000000,0,1,3,0,0,10
13.500000,0,1,3,0,0,10
14.000000,0,1,3,0,0,10
14.500000,0,1,3,0,0,10
15.000000,0,0,4,0,0,00
15.500000,0,0,4,0,0,00
16.000000,0,0,4,0,0,00
16.500000,0,0,4,0,0,00
17.000000,0,0,4,0,0,00
17.500000,0,0,4,0,0,00
18.000000,0,0,4,0,0,00
18.500000,0,0,4,0,0,00
19.000000,0,0,4,0,0,00
19.500000,0,0,4,0,0,00
20.000000,0,1,4,0,0,10
20.500000,0,1,4,0,0,10
21.000000,0,1,4,0,0,10
21.500000,0,0,5,0,0,00
22.000000,0,0,5,0,0,00
22.500000,0,0,5,0,0,00
23.000000,0,0,5,0,0,00
23.500000,0,0,5,0,0,00
24.000000,0,0,5,0,0,00
24.500000,0,0,5,0,0,00
25.000000,0,0,5,0,0,00
25.500000,0,1,5,0,0,10
26.000000,0,1,5,0,0,10
26.500000,0,1,5,0,0,10
27.000000,0,1,5,0,0,10
27.500000,0,1,5,0,0,10
28.000000,0,1,5,0,0,10
28.500000,0,2,5,0,0,11
29.000000,0,2,5,0,0,11
29.500000,0,2,5,0,0,11
30.000000,0,1,7,0,0,10
30.500000,0,1,7,0,0,10
31.000000,0,1,7,0,0,10
31.500000,0,1,7,0,0,10
32.000000,0,1,7,0,0,10
32.500000,0,0,8,0,0,00
33.000000,0,0,8,0,0,00
33.500000,0,0,8,0,0,00
34.000000,0,0,8,0,0,00
34.500000,0,0,8,0,0,00
35.000000,0,0,8,0,0,00
35.500000,0,0,8,0,0,00
36.000000,0,0,8,0,0,00
36.500000,0,0,8,0,0,00
37.000000,0,1,8,0,0,10
37.500000,0,1,8,0,0,10
38.000000,0,1,8,0,0,10
38.500000,0,2,8,0,0,11
39.000000,0,2,8,0,0,11
39.500000,1,2,8,0,0,11
40.000000,1,2,8,0,0,11
40.500000,1,2,8,0,0,11
41.000000,1,2,8,0,0,11
41.500000,0,2,9,0,0,11
42.000000,0,2,9,0,0,11
42.500000,0,2,9,0,0,11
43.000000,0,2,9,0,0,11
43.500000,0,2,9,0,0,11
44.000000,0,2,9,0,0,11
44.500000,0,2,9,0,0,11
45.000000,0,2,9,0,0,11
45.500000,0,2,9,0,0,11
46.000000,0,2,9,0,0,11
46.500000,0,2,9,0,0,11
47.000000,0,0,11,0,0,00
47.500000,0,0,11,0,0,00
48.000000,0,0,11,0,0,00
48.500000,0,0,11,0,0,00
49.000000,0,0,11,0,0,00
49.500000,0,0,11,0,0,00
50.000000,0,0,11,0,0,00
50.500000,0,1,11,0,0,10
51.000000,0,1,11,0,0,10
51.500000,0,1,11,0,0,10
52.000000,0,1,11,0,0,10
52.500000,0,1,11,0,0,10
53.000000,0,2,11,0,0,11
53.500000,0,2,11,0,0,11
54.000000,0,2,11,0,0,11
54.500000,0,2,11,0,0,11
55.000000,0,1,12,0,0,01
55.500000,0,1,12,0,0,01
56.000000,0,1,12,0,0,01
56.500000,0,1,12,0,0,01
57.000000,0,1,12,0,0,01
57.500000,0,1,12,0,0,01
58.000000,0,1,12,0,0,01
58.500000,0,1,12,0,0,01
59.000000,0,1,12,0,0,01
59.500000,0,0,13,0,0,00
60.000000,0,0,13,0,0,00
60.500000,0,0,13,0,0,00
61.000000,0,1,13,0,0,10
61.500000,0,1,13,0,0,10
62.000000,0,1,13,0,0,10
62.500000,0,1,13,0,0,10
63.000000,0,0,14,0,0,00
63.500000,0,0,14,0,0,00
64.000000,0,0,14,0,0,00
64.500000,0,0,14,0,0,00
65.000000,0,2,14,0,0,11
65.500000,0,2,14,0,0,11
66.000000,0,2,14,0,0,11
66.500000,0,1,15,0,0,10
67.000000,0,1,15,0,0,10
67.500000,0,1,15,0,0,10
68.000000,0,1,15,0,0,10
68.500000,0,1,15,0,0,10
69.000000,0,1,15,0,0,10
69.500000,0,1,15,0,0,10
70.000000,0,1,15,0,0,10
70.500000,0,1,15,0,0,10
71.000000,0,1,15,0,0,10
71.500000,0,2,15,0,0,11
72.000000,0,2,15,0,0,11
72.500000,0,1,16,0,0,10
73.000000,0,0,17,0,0,00
73.500000,0,0,17,0,0,00
74.000000,0,0,17,0,0,00
74.500000,0,0,17,0,0,00
75.000000,0,0,17,0,0,00
75.500000,0,0,17,0,0,00
76.000000,0,0,17,0,0,00
