sim_time_min,type,entity_id,atm_id,wait_min,service_min,queue_len,message
0.649978,LOG,,,,,1,ARRIVAL c001 -> q=1
0.649978,ARRIVAL,c001,,,,1,
0.649978,LOG,,,,,0,"START   ATM1 <- c001 (wait=0.00m, st=1.51m)"
0.649978,START,c001,1,0.000000,1.511613,0,
0.898096,LOG,,,,,1,ARRIVAL c002 -> q=1
0.898096,ARRIVAL,c002,,,,1,
0.898096,LOG,,,,,0,"START   ATM2 <- c002 (wait=0.00m, st=1.39m)"
0.898096,START,c002,2,0.000000,1.388162,0,
2.161591,LOG,,,,,0,DONE    ATM1 -> c001
2.161591,DONE,c001,1,,,0,
2.286258,LOG,,,,,0,DONE    ATM2 -> c002
2.286258,DONE,c002,2,,,0,
6.370719,LOG,,,,,1,ARRIVAL c003 -> q=1
6.370719,ARRIVAL,c003,,,,1,
6.370719,LOG,,,,,0,"START   ATM1 <- c003 (wait=0.00m, st=1.84m)"
6.370719,START,c003,1,0.000000,1.837218,0,
7.800948,LOG,,,,,1,ARRIVAL c004 -> q=1
7.800948,ARRIVAL,c004,,,,1,
7.800948,LOG,,,,,0,"START   ATM2 <- c004 (wait=0.00m, st=1.12m)"
7.800948,START,c004,2,0.000000,1.122000,0,
8.207937,LOG,,,,,0,DONE    ATM1 -> c003
8.207937,DONE,c003,1,,,0,
8.922948,LOG,,,,,0,DONE    ATM2 -> c004
8.922948,DONE,c004,2,,,0,
13.032040,LOG,,,,,1,ARRIVAL c005 -> q=1
13.032040,ARRIVAL,c005,,,,1,
13.032040,LOG,,,,,0,"START   ATM1 <- c005 (wait=0.00m, st=1.73m)"
13.032040,START,c005,1,0.000000,1.727283,0,
14.759323,LOG,,,,,0,DONE    ATM1 -> c005
14.759323,DONE,c005,1,,,0,
17.785643,LOG,,,,,1,ARRIVAL c006 -> q=1
17.785643,ARRIVAL,c006,,,,1,
17.785643,LOG,,,,,0,"START   ATM1 <- c006 (wait=0.00m, st=2.19m)"
17.785643,START,c006,1,0.000000,2.185342,0,
18.200580,LOG,,,,,1,ARRIVAL c007 -> q=1
18.200580,ARRIVAL,c007,,,,1,
18.200580,LOG,,,,,0,"START   ATM2 <- c007 (wait=0.00m, st=5.67m)"
18.200580,START,c007,2,0.000000,5.665636,0,
19.970985,LOG,,,,,0,DONE    ATM1 -> c006
19.970985,DONE,c006,1,,,0,
23.866217,LOG,,,,,0,DONE    ATM2 -> c007
23.866217,DONE,c007,2,,,0,
