sim_time_min,type,entity_id,atm_id,wait_min,service_min,queue_len,message
0.204313,LOG,,,,,1,ARRIVAL c001 -> q=1
0.204313,ARRIVAL,c001,,,,1,
0.204313,LOG,,,,,0,"START   ATM1 <- c001 (wait=0.00m, st=2.04m)"
0.204313,START,c001,1,0.000000,2.037903,0,
1.890001,LOG,,,,,1,ARRIVAL c002 -> q=1
1.890001,ARRIVAL,c002,,,,1,
1.890001,LOG,,,,,0,"START   ATM2 <- c002 (wait=0.00m, st=1.05m)"
1.890001,START,c002,2,0.000000,1.046063,0,
2.242216,LOG,,,,,0,DONE    ATM1 -> c001
2.242216,DONE,c001,1,,,0,
2.936064,LOG,,,,,0,DONE    ATM2 -> c002
2.936064,DONE,c002,2,,,0,
7.437795,LOG,,,,,1,ARRIVAL c003 -> q=1
7.437795,ARRIVAL,c003,,,,1,
7.437795,LOG,,,,,0,"START   ATM1 <- c003 (wait=0.00m, st=8.20m)"
7.437795,START,c003,1,0.000000,8.199024,0,
10.148342,LOG,,,,,1,ARRIVAL c004 -> q=1
10.148342,ARRIVAL,c004,,,,1,
10.148342,LOG,,,,,0,"START   ATM2 <- c004 (wait=0.00m, st=2.58m)"
10.148342,START,c004,2,0.000000,2.575935,0,
12.527031,LOG,,,,,1,ARRIVAL c005 -> q=1
12.527031,ARRIVAL,c005,,,,1,
12.724276,LOG,,,,,1,DONE    ATM2 -> c004
12.724276,DONE,c004,2,,,1,
12.724276,LOG,,,,,0,"START   ATM2 <- c005 (wait=0.20m, st=2.55m)"
12.724276,START,c005,2,0.197246,2.554452,0,
14.850613,LOG,,,,,1,ARRIVAL c006 -> q=1
14.850613,ARRIVAL,c006,,,,1,
15.278728,LOG,,,,,1,DONE    ATM2 -> c005
15.278728,DONE,c005,2,,,1,
15.278728,LOG,,,,,0,"START   ATM2 <- c006 (wait=0.43m, st=2.27m)"
15.278728,START,c006,2,0.428115,2.267719,0,
15.636819,LOG,,,,,0,DONE    ATM1 -> c003
15.636819,DONE,c003,1,,,0,
17.546447,LOG,,,,,0,DONE    ATM2 -> c006
17.546447,DONE,c006,2,,,0,
17.965645,LOG,,,,,1,ARRIVAL c007 -> q=1
17.965645,ARRIVAL,c007,,,,1,
17.965645,LOG,,,,,0,"START   ATM1 <- c007 (wait=0.00m, st=3.23m)"
17.965645,START,c007,1,0.000000,3.226930,0,
20.538361,LOG,,,,,1,ARRIVAL c008 -> q=1
20.538361,ARRIVAL,c008,,,,1,
20.538361,LOG,,,,,0,"START   ATM2 <- c008 (wait=0.00m, st=2.01m)"
20.538361,START,c008,2,0.000000,2.006368,0,
20.936835,LOG,,,,,1,ARRIVAL c009 -> q=1
20.936835,ARRIVAL,c009,,,,1,
21.192575,LOG,,,,,1,DONE    ATM1 -> c007
21.192575,DONE,c007,1,,,1,
21.192575,LOG,,,,,0,"START   ATM1 <- c009 (wait=0.26m, st=6.81m)"
21.192575,START,c009,1,0.255740,6.812959,0,
22.544728,LOG,,,,,0,DONE    ATM2 -> c008
22.544728,DONE,c008,2,,,0,
26.187476,LOG,,,,,1,ARRIVAL c010 -> q=1
26.187476,ARRIVAL,c010,,,,1,
26.187476,LOG,,,,,0,"START   ATM2 <- c010 (wait=0.00m, st=3.39m)"
26.187476,START,c010,2,0.000000,3.394919,0,
26.638306,LOG,,,,,1,ARRIVAL c011 -> q=1
26.638306,ARRIVAL,c011,,,,1,
26.656734,LOG,,,,,2,ARRIVAL c012 -> q=2
26.656734,ARRIVAL,c012,,,,2,
28.005534,LOG,,,,,2,DONE    ATM1 -> c009
28.005534,DONE,c009,1,,,2,
28.005534,LOG,,,,,1,"START   ATM1 <- c011 (wait=1.37m, st=3.07m)"
28.005534,START,c011,1,1.367228,3.069435,1,
29.582395,LOG,,,,,1,DONE    ATM2 -> c010
29.582395,DONE,c010,2,,,1,
29.582395,LOG,,,,,0,"START   ATM2 <- c012 (wait=2.93m, st=2.62m)"
29.582395,START,c012,2,2.925661,2.621797,0,
31.074969,LOG,,,,,0,DONE    ATM1 -> c011
