sim_time_min,type,entity_id,atm_id,wait_min,service_min,queue_len,message
3.823368,LOG,,,,,1,ARRIVAL c001 -> q=1
3.823368,ARRIVAL,c001,,,,1,
3.823368,LOG,,,,,0,"START   ATM1 <- c001 (wait=0.00m, st=2.76m)"
3.823368,START,c001,1,0.000000,2.755130,0,
6.578497,LOG,,,,,0,DONE    ATM1 -> c001
6.578497,DONE,c001,1,,,0,
10.686440,LOG,,,,,1,ARRIVAL c002 -> q=1
10.686440,ARRIVAL,c002,,,,1,
10.686440,LOG,,,,,0,"START   ATM1 <- c002 (wait=0.00m, st=3.15m)"
10.686440,START,c002,1,0.000000,3.149714,0,
12.411565,LOG,,,,,1,ARRIVAL c003 -> q=1
12.411565,ARRIVAL,c003,,,,1,
12.411565,LOG,,,,,0,"START   ATM2 <- c003 (wait=0.00m, st=3.27m)"
12.411565,START,c003,2,0.000000,3.269001,0,
13.836154,LOG,,,,,0,DONE    ATM1 -> c002
13.836154,DONE,c002,1,,,0,
14.800552,LOG,,,,,1,ARRIVAL c004 -> q=1
14.800552,ARRIVAL,c004,,,,1,
14.800552,LOG,,,,,0,"START   ATM1 <- c004 (wait=0.00m, st=0.80m)"
14.800552,START,c004,1,0.000000,0.795305,0,
15.595858,LOG,,,,,0,DONE    ATM1 -> c004
15.595858,DONE,c004,1,,,0,
15.680566,LOG,,,,,0,DONE    ATM2 -> c003
15.680566,DONE,c003,2,,,0,
20.168256,LOG,,,,,1,ARRIVAL c005 -> q=1
20.168256,ARRIVAL,c005,,,,1,
20.168256,LOG,,,,,0,"START   ATM1 <- c005 (wait=0.00m, st=3.30m)"
20.168256,START,c005,1,0.000000,3.298998,0,
23.467255,LOG,,,,,0,DONE    ATM1 -> c005
23.467255,DONE,c005,1,,,0,
28.338219,LOG,,,,,1,ARRIVAL c006 -> q=1
28.338219,ARRIVAL,c006,,,,1,
28.338219,LOG,,,,,0,"START   ATM1 <- c006 (wait=0.00m, st=5.34m)"
28.338219,START,c006,1,0.000000,5.339915,0,
33.678135,LOG,,,,,0,DONE    ATM1 -> c006
33.678135,DONE,c006,1,,,0,
34.294704,LOG,,,,,1,ARRIVAL c007 -> q=1
34.294704,ARRIVAL,c007,,,,1,
34.294704,LOG,,,,,0,"START   ATM1 <- c007 (wait=0.00m, st=8.65m)"
34.294704,START,c007,1,0.000000,8.648656,0,
36.719803,LOG,,,,,1,ARRIVAL c008 -> q=1
36.719803,ARRIVAL,c008,,,,1,
36.719803,LOG,,,,,0,"START   ATM2 <- c008 (wait=0.00m, st=2.75m)"
36.719803,START,c008,2,0.000000,2.754689,0,
39.474492,LOG,,,,,0,DONE    ATM2 -> c008
39.474492,DONE,c008,2,,,0,
42.943360,LOG,,,,,0,DONE    ATM1 -> c007
42.943360,DONE,c007,1,,,0,
46.310865,LOG,,,,,1,ARRIVAL c009 -> q=1
46.310865,ARRIVAL,c009,,,,1,
46.310865,LOG,,,,,0,"START   ATM1 <- c009 (wait=0.00m, st=6.28m)"
46.310865,START,c009,1,0.000000,6.276124,0,
49.143029,LOG,,,,,1,ARRIVAL c010 -> q=1
49.143029,ARRIVAL,c010,,,,1,
49.143029,LOG,,,,,0,"START   ATM2 <- c010 (wait=0.00m, st=1.22m)"
49.143029,START,c010,2,0.000000,1.216718,0,
49.412255,LOG,,,,,1,ARRIVAL c011 -> q=1
49.412255,ARRIVAL,c011,,,,1,
50.359747,LOG,,,,,1,DONE    ATM2 -> c010
50.359747,DONE,c010,2,,,1,
50.359747,LOG,,,,,0,"START   ATM2 <- c011 (wait=0.95m, st=5.31m)"
50.359747,START,c011,2,0.947493,5.307520,0,
50.525983,LOG,,,,,1,ARRIVAL c012 -> q=1
50.525983,ARRIVAL,c012,,,,1,
51.824308,LOG,,,,,2,ARRIVAL c013 -> q=2
51.824308,ARRIVAL,c013,,,,2,
52.509339,LOG,,,,,3,ARRIVAL c014 -> q=3
52.509339,ARRIVAL,c014,,,,3,
52.586989,LOG,,,,,3,DONE    ATM1 -> c009
52.586989,DONE,c009,1,,,3,
