sim_time_min,queue_len,in_service,completed,balked,reneged,atm_busy_flags
0.000000,0,0,0,0,0,00
0.500000,0,0,0,0,0,00
1.000000,0,0,0,0,0,00
1.500000,0,0,0,0,0,00
2.000000,0,0,0,0,0,00
2.500000,0,0,0,0,0,00
3.000000,0,0,0,0,0,00
3.500000,0,0,0,0,0,00
4.000000,0,1,0,0,0,10
4.500000,0,1,0,0,0,10
5.000000,0,1,0,0,0,10
5.500000,0,1,0,0,0,10
6.000000,0,1,0,0,0,10
6.500000,0,1,0,0,0,10
7.000000,0,0,1,0,0,00
7.500000,0,0,1,0,0,00
8.000000,0,0,1,0,0,00
8.500000,0,0,1,0,0,00
9.000000,0,0,1,0,0,00
9.500000,0,0,1,0,0,00
10.000000,0,0,1,0,0,00
10.500000,0,0,1,0,0,00
11.000000,0,1,1,0,0,10
11.500000,0,1,1,0,0,10
12.000000,0,1,1,0,0,10
12.500000,0,2,1,0,0,11
13.000000,0,2,1,0,0,11
13.500000,0,2,1,0,0,11
14.000000,0,1,2,0,0,01
14.500000,0,1,2,0,0,01
15.000000,0,2,2,0,0,11
15.500000,0,2,2,0,0,11
16.000000,0,0,4,0,0,00
16.500000,0,0,4,0,0,00
17.000000,0,0,4,0,0,00
17.500000,0,0,4,0,0,00
18.000000,0,0,4,0,0,00
18.500000,0,0,4,0,0,00
19.000000,0,0,4,0,0,00
19.500000,0,0,4,0,0,00
20.000000,0,0,4,0,0,00
20.500000,0,1,4,0,0,10
21.000000,0,1,4,0,0,10
21.500000,0,1,4,0,0,10
22.000000,0,1,4,0,0,10
22.500000,0,1,4,0,0,10
23.000000,0,1,4,0,0,10
23.500000,0,0,5,0,0,00
24.000000,0,0,5,0,0,00
24.500000,0,0,5,0,0,00
25.000000,0,0,5,0,0,00
25.500000,0,0,5,0,0,00
26.000000,0,0,5,0,0,00
26.500000,0,0,5,0,0,00
27.000000,0,0,5,0,0,00
27.500000,0,0,5,0,0,00
28.000000,0,0,5,0,0,00
28.500000,0,1,5,0,0,10
29.000000,0,1,5,0,0,10
29.500000,0,1,5,0,0,10
30.000000,0,1,5,0,0,10
30.500000,0,1,5,0,0,10
31.000000,0,1,5,0,0,10
31.500000,0,1,5,0,0,10
32.000000,0,1,5,0,0,10
32.500000,0,1,5,0,0,10
33.000000,0,1,5,0,0,10
33.500000,0,1,5,0,0,10
34.000000,0,0,6,0,0,00
34.500000,0,1,6,0,0,10
35.000000,0,1,6,0,0,10
35.500000,0,1,6,0,0,10
36.000000,0,1,6,0,0,10
36.500000,0,1,6,0,0,10
37.000000,0,2,6,0,0,11
37.500000,0,2,6,0,0,11
38.000000,0,2,6,0,0,11
38.500000,0,2,6,0,0,11
39.000000,0,2,6,0,0,11
39.500000,0,1,7,0,0,10
40.000000,0,1,7,0,0,10
40.500000,0,1,7,0,0,10
41.000000,0,1,7,0,0,10
41.500000,0,1,7,0,0,10
42.000000,0,1,7,0,0,10
42.500000,0,1,7,0,0,10
43.000000,0,0,8,0,0,00
43.500000,0,0,8,0,0,00
44.000000,0,0,8,0,0,00
44.500000,0,0,8,0,0,00
45.000000,0,0,8,0,0,00
45.500000,0,0,8,0,0,00
46.000000,0,0,8,0,0,00
46.500000,0,1,8,0,0,10
47.000000,0,1,8,0,0,10
47.500000,0,1,8,0,0,10
48.000000,0,1,8,0,0,10
48.500000,0,1,8,0,0,10
49.000000,0,1,8,0,0,10
49.500000,1,2,8,0,0,11
50.000000,1,2,8,0,0,11
50.500000,0,2,9,0,0,11
51.000000,1,2,9,0,0,11
51.500000,1,2,9,0,0,11
52.000000,2,2,9,0,0,11
52.500000,2,2,9,0,0,11
53.000000,2,2,10,0,0,11
53.500000,2,2,10,0,0,11
54.000000,2,2,11,0,0,11
54.500000,2,2,11,0,0,11
55.000000,2,2,11,0,0,11
55.500000,3,2,11,0,0,11
56.000000,2,2,12,0,0,11
56.500000,2,2,12,0,0,11
57.000000,2,2,12,0,0,11
57.500000,2,2,12,0,0,11
58.000000,3,2,12,0,0,11
58.500000,3,2,12,0,0,11
59.000000,2,2,13,0,0,11
59.500000,2,2,13,0,0,11
60.000000,2,2,13,0,0,11
60.500000,2,2,13,0,0,11
61.000000,3,2,13,0,0,11
61.500000,2,2,14,0,0,11
62.000000,2,2,14,0,0,11
62.500000,2,2,14,0,0,11
63.000000,3,2,14,0,0,11
63.500000,3,2,14,0,0,11
64.000000,3,2,14,0,0,11
64.500000,3,2,14,0,0,11
65.000000,2,2,15,0,0,11
65.500000,3,2,15,0,0,11
66.000000,4,2,15,0,0,11
66.500000,4,2,15,0,0,11
67.000000,4,2,15,0,0,11
67.500000,5,2,15,0,0,11
68.000000,4,2,16,0,0,11
68.500000,4,2,16,0,0,11
69.000000,5,2,16,0,0,11
69.500000,5,2,16,0,0,11
70.000000,5,2,16,0,0,11
70.500000,3,2,18,0,0,11
71.000000,3,2,18,0,0,11
71.500000,2,2,19,0,0,11
72.000000,2,2,19,0,0,11
72.500000,2,2,19,0,0,11
73.000000,3,2,19,0,0,11
73.500000,3,2,19,0,0,11
74.000000,3,2,19,0,0,11
74.500000,3,2,19,0,0,11
75.000000,3,2,19,0,0,11
75.500000,2,2,20,0,0,11
76.000000,2,2,20,0,0,11
