sim_time_min,type,entity_id,atm_id,wait_min,service_min,queue_len,message
2.713714,LOG,,,,,1,ARRIVAL c001 -> q=1
2.713714,ARRIVAL,c001,,,,1,
2.713714,LOG,,,,,0,"START   ATM1 <- c001 (wait=0.00m, st=6.40m)"
2.713714,START,c001,1,0.000000,6.397568,0,
4.765067,LOG,,,,,1,ARRIVAL c002 -> q=1
4.765067,ARRIVAL,c002,,,,1,
4.765067,LOG,,,,,0,"START   ATM2 <- c002 (wait=0.00m, st=2.12m)"
4.765067,START,c002,2,0.000000,2.117203,0,
6.882270,LOG,,,,,0,DONE    ATM2 -> c002
6.882270,DONE,c002,2,,,0,
9.111282,LOG,,,,,0,DONE    ATM1 -> c001
9.111282,DONE,c001,1,,,0,
10.979979,LOG,,,,,1,ARRIVAL c003 -> q=1
10.979979,ARRIVAL,c003,,,,1,
10.979979,LOG,,,,,0,"START   ATM1 <- c003 (wait=0.00m, st=3.79m)"
10.979979,START,c003,1,0.000000,3.786441,0,
11.126578,LOG,,,,,1,ARRIVAL c004 -> q=1
11.126578,ARRIVAL,c004,,,,1,
11.126578,LOG,,,,,0,"START   ATM2 <- c004 (wait=0.00m, st=1.81m)"
11.126578,START,c004,2,0.000000,1.808288,0,
12.934866,LOG,,,,,0,DONE    ATM2 -> c004
12.934866,DONE,c004,2,,,0,
14.766421,LOG,,,,,0,DONE    ATM1 -> c003
14.766421,DONE,c003,1,,,0,
23.229843,LOG,,,,,1,ARRIVAL c005 -> q=1
23.229843,ARRIVAL,c005,,,,1,
23.229843,LOG,,,,,0,"START   ATM1 <- c005 (wait=0.00m, st=4.50m)"
23.229843,START,c005,1,0.000000,4.501038,0,
26.987091,LOG,,,,,1,ARRIVAL c006 -> q=1
26.987091,ARRIVAL,c006,,,,1,
26.987091,LOG,,,,,0,"START   ATM2 <- c006 (wait=0.00m, st=1.90m)"
26.987091,START,c006,2,0.000000,1.901363,0,
27.730880,LOG,,,,,0,DONE    ATM1 -> c005
27.730880,DONE,c005,1,,,0,
28.888455,LOG,,,,,0,DONE    ATM2 -> c006
28.888455,DONE,c006,2,,,0,
31.520101,LOG,,,,,1,ARRIVAL c007 -> q=1
31.520101,ARRIVAL,c007,,,,1,
31.520101,LOG,,,,,0,"START   ATM1 <- c007 (wait=0.00m, st=1.84m)"
31.520101,START,c007,1,0.000000,1.844138,0,
33.364239,LOG,,,,,0,DONE    ATM1 -> c007
33.364239,DONE,c007,1,,,0,
37.468975,LOG,,,,,1,ARRIVAL c008 -> q=1
